start,end,value
00:00,00:00.020000,0.12080733
00:00.010000,00:00.030000,0.1212941
00:00.020000,00:00.040000,0.122063816
00:00.030000,00:00.050000,0.12079973
00:00.040000,00:00.060000,0.12114862
00:00.050000,00:00.070000,0.119322054
00:00.060000,00:00.080000,0.12004963
00:00.070000,00:00.090000,0.12068377
00:00.080000,00:00.100000,0.12393584
00:00.090000,00:00.110000,0.12518734
00:00.100000,00:00.120000,0.12588507
00:00.110000,00:00.130000,0.12732235
00:00.120000,00:00.140000,0.1267596
00:00.130000,00:00.150000,0.1248338
00:00.140000,00:00.160000,0.12251138
00:00.150000,00:00.170000,0.13325657
00:00.160000,00:00.180000,0.13226026
00:00.170000,00:00.190000,0.1312827
00:00.180000,00:00.200000,0.11802217
00:00.190000,00:00.210000,0.11606441
00:00.200000,00:00.220000,0.1130175
00:00.210000,00:00.230000,0.11192515
00:00.220000,00:00.240000,0.11945174
00:00.230000,00:00.250000,0.1213904
00:00.240000,00:00.260000,0.12602669
00:00.250000,00:00.270000,0.13429146
00:00.260000,00:00.280000,0.13762747
00:00.270000,00:00.290000,0.14092256
00:00.280000,00:00.300000,0.39940247
00:00.290000,00:00.310000,0.6166933
00:00.300000,00:00.320000,0.78721446
00:00.310000,00:00.330000,0.6260655
00:00.320000,00:00.340000,0.45623362
00:00.330000,00:00.350000,0.3478955
00:00.340000,00:00.360000,0.29865602
00:00.350000,00:00.370000,0.32316452
00:00.360000,00:00.380000,0.2724315
00:00.370000,00:00.390000,0.21184967
00:00.380000,00:00.400000,0.13638882
00:00.390000,00:00.410000,0.12334851
00:00.400000,00:00.420000,0.18324108
00:00.410000,00:00.430000,0.18870245
00:00.420000,00:00.440000,0.31598675
00:00.430000,00:00.450000,0.2821506
00:00.440000,00:00.460000,0.298111
00:00.450000,00:00.470000,0.2322917
00:00.460000,00:00.480000,0.24518329
00:00.470000,00:00.490000,0.24539469
00:00.480000,00:00.500000,0.3072414
00:00.490000,00:00.510000,0.50621873
00:00.500000,00:00.520000,0.62765276
00:00.510000,00:00.530000,0.6725383
00:00.520000,00:00.540000,0.64297485
00:00.530000,00:00.550000,0.7911735
00:00.540000,00:00.560000,0.9445712
00:00.550000,00:00.570000,1.0646411
00:00.560000,00:00.580000,1.0921161
00:00.570000,00:00.590000,1.0309304
00:00.580000,00:00.600000,0.89671296
00:00.590000,00:00.610000,0.6632342
00:00.600000,00:00.620000,0.4315375
00:00.610000,00:00.630000,0.24981155
00:00.620000,00:00.640000,0.17215323
00:00.630000,00:00.650000,0.14313805
00:00.640000,00:00.660000,0.13434638
00:00.650000,00:00.670000,0.12918699
00:00.660000,00:00.680000,0.13075411
00:00.670000,00:00.690000,0.12848759
00:00.680000,00:00.700000,0.34753385
00:00.690000,00:00.710000,0.8801322
00:00.700000,00:00.720000,1.2702265
00:00.710000,00:00.730000,1.3729068
00:00.720000,00:00.740000,1.1015126
00:00.730000,00:00.750000,1.0412868
00:00.740000,00:00.760000,0.8465681
00:00.750000,00:00.770000,0.6684215
00:00.760000,00:00.780000,0.4097046
00:00.770000,00:00.790000,0.3757259
00:00.780000,00:00.800000,0.3867631
00:00.790000,00:00.810000,0.4099294
00:00.800000,00:00.820000,0.40712878
00:00.810000,00:00.830000,0.3846747
00:00.820000,00:00.840000,0.34948254
00:00.830000,00:00.850000,0.3704047
00:00.840000,00:00.860000,0.88298863
00:00.850000,00:00.870000,1.623921
00:00.860000,00:00.880000,2.3131096
00:00.870000,00:00.890000,2.6792438
00:00.880000,00:00.900000,2.6204164
00:00.890000,00:00.910000,2.5493145
00:00.900000,00:00.920000,2.4382288
00:00.910000,00:00.930000,2.5638695
00:00.920000,00:00.940000,2.7960098
00:00.930000,00:00.950000,2.9149687
00:00.940000,00:00.960000,2.868684
00:00.950000,00:00.970000,2.7180011
00:00.960000,00:00.980000,2.6885862
00:00.970000,00:00.990000,2.6476982
00:00.980000,00:01,2.5354564
00:00.990000,00:01.010000,2.2574341
00:01,00:01.020000,1.7853304
00:01.010000,00:01.030000,1.2135316
00:01.020000,00:01.040000,0.71324784
00:01.030000,00:01.050000,0.6414871
00:01.040000,00:01.060000,0.72941875
00:01.050000,00:01.070000,0.74122554
00:01.060000,00:01.080000,0.6587579
00:01.070000,00:01.090000,0.56882197
00:01.080000,00:01.100000,0.5160578
00:01.090000,00:01.110000,0.46280107
00:01.100000,00:01.120000,0.44147554
00:01.110000,00:01.130000,0.4482305
00:01.120000,00:01.140000,0.46710196
00:01.130000,00:01.150000,0.49546993
00:01.140000,00:01.160000,0.50588316
00:01.150000,00:01.170000,0.52459985
00:01.160000,00:01.180000,0.50503415
00:01.170000,00:01.190000,0.47999144
00:01.180000,00:01.200000,0.45356175
00:01.190000,00:01.210000,0.43384218
00:01.200000,00:01.220000,0.39364195
00:01.210000,00:01.230000,0.3723439
00:01.220000,00:01.240000,0.5035916
00:01.230000,00:01.250000,1.1597043
00:01.240000,00:01.260000,2.088021
00:01.250000,00:01.270000,2.9846659
